"Name","DisplayName","State","StartMode","PathName","StartName"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","C:\Windows\System32\svchost.exe -k netsvcs -p","localSystem"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","C:\Windows\System32\svchost.exe -k WerSvcGroup","localSystem"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","LocalSystem"
"WinDefend","Microsoft Defender Antivirus Service","Stopped","Manual","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.26030.3011-0\MsMpEng.exe""","LocalSystem"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","NT AUTHORITY\LocalService"
"Winmgmt","Windows Management Instrumentation","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","localSystem"
"WinRM","Windows Remote Management (WS-Management)","Running","Auto","C:\Windows\System32\svchost.exe -k NetworkService -p","NT AUTHORITY\NetworkService"
"wisvc","Windows Insider Service","Stopped","Disabled","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","C:\Windows\system32\wbem\WmiApSrv.exe","localSystem"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","""C:\Program Files\Windows Media Player\wmpnetwk.exe""","NT AUTHORITY\NetworkService"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","LocalSystem"
"WpnService","Windows Push Notifications System Service","Running","Auto","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
"WSearch","Windows Search","Stopped","Disabled","C:\Windows\system32\SearchIndexer.exe /Embedding","LocalSystem"
"wuauserv","Windows Update","Stopped","Disabled","C:\Windows\system32\svchost.exe -k netsvcs -p","LocalSystem"
